City,District,Name,Address,Phone,Garde_Status
Marrakech,Ain itti,Pharmacie El Hamidi,"Pharmacie El Hamidi, 26, aïn itti devant le cimetière de bab lakhmis",0524 30 73 50,Ouvert en ce moment
Marrakech,Ain itti,Pharmacie Dar Tounsi,"Pharmacie Dar Tounsi, 66, biout el boun rte de meknès après aïn itti et en face de villas borj ennakhil et près de metro",0524 32 96 52,Ouvert en ce moment
Marrakech,Ain itti,Pharmacie Zohour,"Pharmacie Zohour, Zohour 2 Aïn Itti derrière cimetière Bab Khmiss près de la nouvelle Station Total Rte Méknès",0524 32 83 42,Garde Nuit (Ouvert de 20h à 9h)
Marrakech,Daoudiat,Pharmacie Ben Youssef,"Pharmacie Ben Youssef, centre commercial riad salam près de l’école el iraki ii et l’hôtel ibis, route de casa",0524 29 11 11,Garde Nuit (Ouvert de 20h à 9h)
Marrakech,Daoudiat,Pharmacie AttaÏba,"Pharmacie AttaÏba, 23 bis, av. my abdellah (ex. bd. de safi) rue al baraka, près de l’école al bachir lot. salima",0524 31 08 77,Ouvert en ce moment
Marrakech,Daoudiat,Pharmacie Chahrazad,"Pharmacie Chahrazad,   hay Mohammadi   Unité 3 n°212  Daoudiate",0524 30 57 57,Ouvert en ce moment
Marrakech,Daoudiat,Pharmacie Issil,"Pharmacie Issil, 91, av. abbas ibn abdmoutalib au sein du marché issil, à côté école des mines et la mosquée issil",0524 31 25 44,Ouvert en ce moment
Marrakech,Daoudiat,Pharmacie Chair ElHamra,"Pharmacie Chair ElHamra, 36  rue Abou Oubaida   unité 2  cité Mohammadi  Daoudiate",0524 30 27 66,Garde Nuit (Ouvert de 20h à 9h)
Marrakech,Grand gueliz,Pharmacie El Filali,"Pharmacie El Filali, Résid. Bakouri, Av. khalid B.Walid entre les Pompiers et Dispensaire les Sœurs derrière Cimetière Bab Doukala",0524 43 27 00,Ouvert en ce moment
Marrakech,Grand gueliz,Pharmacie Dar Lahlib,"Pharmacie Dar Lahlib, 144, hay zaytoune jdid à côté de l'école de la gendarmerie royale derrière le pont dar lahlib",0524 45 83 64,Ouvert en ce moment
Marrakech,Grand gueliz,Pharmacie Najd,"Pharmacie Najd, Résidence Najd Akioud n°2 Imm D28, à travers Douar Akioud et Lot. Mabrouka, derrière SUZUKI rte de Safi",0524 45 72 53,Ouvert en ce moment
Marrakech,Grand gueliz,Pharmacie Abdelkarim ElKhattabi,"Pharmacie Abdelkarim ElKhattabi, 154  bd Abdelkrim Khattabi   Guéliz",0524 43 93 72,Garde Nuit (Ouvert de 20h à 9h)
Marrakech,Grand gueliz,Pharmacie Hay Semlalia,"Pharmacie Hay Semlalia, entre Fac des Sciences et Fac de Médecine (Semlalia) rue en parallèle avec Bd. Prince My Abdellah Ex. Safi",0524 43 20 02,Garde Nuit (Ouvert de 20h à 9h)
Marrakech,Grand gueliz,Pharmacie La Fontaine,"Pharmacie La Fontaine, 4, Rond-point Route de Safi, Av. Abdelkarim El Khattabi Imm. Ider en face de Mc Do",0524 42 03 57,Garde Nuit (Ouvert de 20h à 9h)
Marrakech,Hay al izdihar,Pharmacie Jananate,"Pharmacie Jananate,   lotiss. Al Izdihar II   rte de Safi  opération Anouar A3",0524 33 58 00,Garde Nuit (Ouvert de 20h à 9h)
Marrakech,Hay al izdihar,Pharmacie Centrale AlIzdihar,"Pharmacie Centrale AlIzdihar, 332  lotiss. Al Izdihar I   rte Safi",0524 33 54 56,Ouvert en ce moment
Marrakech,Hay hassani,Pharmacie Socoma,"Pharmacie Socoma, 84, lot. socoma derrière ferrane trabe",0524 49 45 71,Ouvert en ce moment
Marrakech,Hay hassani,Pharmacie Asseha,"Pharmacie Asseha, 28, op. tafilalt iii massira ii, à côté de station oil libya et station des grands taxis tafilalt",0524 34 04 73,Garde Nuit (Ouvert de 20h à 9h)
Marrakech,Hay hassani,Pharmacie AlFath,"Pharmacie AlFath, 398  hay Massira II   bloc B",0524 34 67 55,Ouvert en ce moment
Marrakech,Hay hassani,Pharmacie Jenane Faiza,"Pharmacie Jenane Faiza, Portes de Marrakech tranche 12 Route Lafak, à 200m de la Mosquée Doha ( près du 17ème Arrondissement de la Préfecture de police Abwab Marrakech)",0524 01 18 90,Ouvert en ce moment
Marrakech,Hay hassani,Pharmacie AlAzhar,"Pharmacie AlAzhar,   hay Massira III   A n° 554",0524 49 29 62,Garde Nuit (Ouvert de 20h à 9h)
Marrakech,Hay hassani,Pharmacie Zerktouni,"Pharmacie Zerktouni, 391, Massira 1 «A», près du Lycée Zerktouni et l’école privée Oum Hani",0524 34 38 89,Ouvert en ce moment
Marrakech,Hay hassani,Pharmacie Residence Annassim,"Pharmacie Residence Annassim, résidence annassim 1 massira 3, proche du centre d'estivage de maroc télécom derrière la direction des impôts targa",0524 39 44 83,Ouvert en ce moment
Marrakech,Lamhamid,Pharmacie Jnane Slimane,"Pharmacie Jnane Slimane, 587, lot. mhamid 9 à côté de résidence jnane slimane",0524 37 12 45,Garde Nuit (Ouvert de 20h à 9h)
Marrakech,Lamhamid,Pharmacie Ouirgane,"Pharmacie Ouirgane, 526, lot. el housna i, à côté de la mosquée al mohcinine (al housna)",0524 36 18 60,Ouvert en ce moment
Marrakech,Lamhamid,Pharmacie Chaab,"Pharmacie Chaab, 541  lotiss. Berradi II   M'hamid 7",0524 37 36 49,Ouvert en ce moment
Marrakech,Lamhamid,Pharmacie Al Hamd,"Pharmacie Al Hamd, 251, Lot. Zerktouni Bouakkaz devant nouvelle entrée de l’Aéroport «Rond Point» à côté de Hamam Ali Ben Fellah",0524 36 10 40,Ouvert en ce moment
Marrakech,Lamhamid,Pharmacie Assafae,"Pharmacie Assafae, Bloc 33, ancien M'hamid à côté de Librairie Bahcine et en face de L’école primaire Mohamed El Bakkal",0524 37 07 95,Ouvert en ce moment
Marrakech,Medina,Pharmacie Zaouia ElAbbassia,"Pharmacie Zaouia ElAbbassia, 2  Derb Zaouia El Abbassia   Derb Najem",0524 38 23 11,Ouvert en ce moment
Marrakech,Medina,Pharmacie Dar El Bacha,"Pharmacie Dar El Bacha, 17, av. fatima zohra r’mila en face conseil des olama",0524 38 69 88,Garde Nuit (Ouvert de 20h à 9h)
Marrakech,Medina,Pharmacie Mamounia,"Pharmacie Mamounia, rue oukba bnou nafii en face de jotiat sidi mimoune, et près du lycée laâyoune et ittisalat al maghreb",0524 38 41 46,Ouvert en ce moment
